Index,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
260,puerto narino,75,CO,1551643200,88,-3.77,-70.38,82.4,3.36
261,hami,0,CN,1551647281,62,42.84,93.51,26.28,7.2
262,san rafael,24,AR,1551647282,45,-34.61,-68.33,76.54,4.41
263,upernavik,80,GL,1551647098,100,72.79,-56.15,11.29,10.22
264,saint-georges,68,CA,1551646839,72,46.12,-70.67,28.0,1.99
265,cherskiy,20,RU,1551647006,50,68.75,161.3,-17.47,5.97
266,cumana,88,VE,1551647283,87,10.46,-64.17,71.86,2.17
267,yelnya,92,RU,1551647283,93,54.58,33.19,29.61,12.68
268,galesong,90,ID,1551645000,100,-5.32,119.37,75.2,1.12
269,oktyabrskoye,20,RU,1551647128,69,56.73,85.44,34.0,17.9
270,ponta delgada,75,PT,1551647054,58,37.73,-25.67,59.0,13.87
271,puteyets,32,RU,1551647284,66,65.17,57.09,-4.87,7.2
272,parsabad,90,AZ,1551643200,86,39.65,47.92,41.0,21.92
273,douglas,1,US,1551647268,23,31.34,-109.55,72.0,10.29
274,geraldton,75,CA,1551644820,49,49.72,-86.95,1.4,12.75
275,naze,40,NG,1551643200,88,5.43,7.07,82.4,3.74
276,mayo,5,CA,1551643200,64,63.59,-135.9,-0.41,2.24
277,manjacaze,68,MZ,1551647285,74,-24.71,33.88,80.05,7.2
278,slave lake,1,CA,1551643200,64,55.28,-114.77,-2.21,11.41
279,batagay-alyta,36,RU,1551647286,32,67.8,130.41,-23.63,2.62
280,sur,0,OM,1551647088,100,22.57,59.53,67.27,4.85
281,wang saphung,0,TH,1551647286,96,17.3,101.77,65.92,5.3
282,pangnirtung,90,CA,1551643200,76,66.15,-65.72,-11.21,4.7
283,humaita,40,AR,1551643200,57,-24.93,-65.37,84.2,8.05
284,uribia,8,CO,1551647287,37,11.71,-72.27,91.21,17.83
285,taltal,0,CL,1551647287,64,-25.41,-70.49,71.86,4.52
286,byron bay,90,AU,1551647205,100,-28.65,153.62,69.8,10.11
287,warrington,75,GB,1551647046,70,53.39,-2.59,48.99,26.4
288,slavyanka,8,RU,1551647287,95,42.86,131.39,35.86,12.24
289,leningradskiy,32,RU,1551647288,76,69.38,178.42,9.63,10.78
290,chimbote,12,PE,1551647280,74,-9.08,-78.59,77.62,7.09
291,gumdag,68,TM,1551647288,90,39.2,54.59,41.76,2.62
292,yar-sale,80,RU,1551647288,89,66.83,70.83,1.21,23.09
293,zhangye,8,CN,1551647288,61,38.94,100.46,20.92,4.41
294,nishihara,90,JP,1551647162,100,35.74,139.53,48.0,10.29
295,klaksvik,92,FO,1551646200,86,62.23,-6.59,41.0,5.82
